2022-10-24 09:21:00 0.9832 0.98325 0.9831 0.9832, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-24 09:32:00 0.9837 0.98375 0.9837 0.9837, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-24 09:32:00 0.9837 0.98375 0.98365 0.98365, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 09:50:00 0.98415 0.98415 0.9841 0.9841, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 12:24:00 0.9842 0.9843 0.9842 0.9843, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 12:24:00 0.9842 0.9843 0.9842 0.98425, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-24 12:24:00 0.9842 0.98435 0.9842 0.98435, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 12:24:00 0.9842 0.98435 0.9842 0.9843, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-24 12:35:00 0.9845 0.98455 0.9844 0.98445, Buy to Close, EUR, USD, -40000.0, 20000.0
2022-10-24 12:35:00 0.9845 0.98455 0.9844 0.9845, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-24 12:36:00 0.98435 0.9844 0.98425 0.9843, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 12:36:00 0.98435 0.9844 0.98425 0.9843, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-24 12:36:00 0.98435 0.9844 0.98425 0.9843, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 12:36:00 0.98435 0.9844 0.98425 0.9843, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-24 12:36:00 0.98435 0.9844 0.98425 0.9843, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 12:36:00 0.98435 0.9844 0.98425 0.9843, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-24 12:42:00 0.9844 0.9844 0.9844 0.9844, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 12:42:00 0.9844 0.9844 0.9844 0.9844, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-24 12:42:00 0.9844 0.9844 0.9844 0.9844, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 12:42:00 0.9844 0.9844 0.9844 0.9844, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-24 12:42:00 0.9844 0.9844 0.9844 0.9844, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 12:42:00 0.9844 0.9844 0.9844 0.9844, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-24 12:42:00 0.9844 0.9844 0.9844 0.9844, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 12:42:00 0.9844 0.9844 0.9844 0.9844, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-24 12:50:00 0.9848 0.98485 0.9848 0.9848, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 12:50:00 0.9848 0.98485 0.9848 0.9848, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-24 12:50:00 0.9848 0.98485 0.9848 0.9848, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 12:50:00 0.9848 0.98485 0.9847 0.9848, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-24 12:56:00 0.98435 0.9844 0.9843 0.9843, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 12:56:00 0.98435 0.9844 0.9843 0.9843, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-24 12:56:00 0.98435 0.9844 0.9843 0.9843, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 12:56:00 0.98435 0.9844 0.9843 0.9843, Buy to Close, EUR, USD, -20000.0, 20000.0
