2022-10-27 14:00:00 1.0057 1.0066 1.0055 1.0064, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-27 14:15:00 1.00655 1.00665 1.006 1.0061, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-27 14:15:00 1.00655 1.00665 1.00595 1.0062, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-27 14:15:00 1.00655 1.00665 1.00595 1.00625, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-27 14:15:00 1.00655 1.00665 1.00595 1.00625, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-27 20:00:00 1.0007 1.00145 0.99865 0.99905, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-27 20:00:00 1.0007 1.00145 0.99865 0.9994, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-27 20:00:00 1.0007 1.00145 0.99865 0.99955, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-27 20:00:00 1.0007 1.00145 0.9973 0.99735, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-27 23:30:00 0.99745 0.99795 0.9974 0.99795, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-27 23:30:00 145.385 145.69 145.355 145.655, Sell to Close, AAPL, USD, 100.0, 1.0
2022-10-27 23:30:00 145.385 145.69 145.355 145.675, Sell to Close, AAPL, USD, 99.0, 1.0
2022-10-27 23:30:00 145.385 145.69 145.355 145.665, Sell to Close, AAPL, USD, 98.0, 1.0
2022-10-27 23:30:00 145.385 145.69 145.355 145.665, Sell to Close, AAPL, USD, 97.0, 1.0
2022-10-27 23:30:00 145.385 145.69 145.355 145.655, Sell to Close, AAPL, USD, 96.0, 1.0
2022-10-27 23:30:00 145.385 145.745 145.355 145.58, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-27 23:30:00 145.385 145.745 145.355 145.535, Sell to Close, AAPL, USD, 1.0, 1.0
2022-10-27 23:30:00 145.385 145.745 145.355 145.555, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-27 23:45:00 145.465 145.575 145.365 145.415, Sell to Close, AAPL, USD, 1.0, 1.0
