2022-10-26 02:45:00 152.255 152.48 152.015 152.385, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-26 02:45:00 152.255 152.48 152.015 152.385, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-26 02:45:00 152.255 152.48 152.015 152.385, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-26 02:45:00 152.255 152.48 152.015 152.385, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-26 02:45:00 152.255 152.48 152.015 152.385, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-26 02:45:00 152.255 152.48 152.015 152.385, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-26 17:15:00 1.0018 1.0019 1.0012 1.00145, Sell to Close, EUR, USD, 80000.0, 1.0
2022-10-26 17:15:00 1.0018 1.0019 1.0012 1.0014, Sell to Close, EUR, USD, 79999.0, 1.0
2022-10-26 17:15:00 1.0018 1.0019 1.0012 1.0013, Sell to Close, EUR, USD, 79998.0, 1.0
2022-10-26 17:15:00 1.0018 1.0019 1.0012 1.0013, Sell to Close, EUR, USD, 79997.0, 1.0
2022-10-26 17:15:00 1.0018 1.0019 1.0012 1.0013, Sell to Close, EUR, USD, 79996.0, 1.0
2022-10-26 17:15:00 1.0018 1.0019 1.0012 1.0013, Sell to Close, EUR, USD, 79995.0, 1.0
2022-10-26 17:15:00 1.0018 1.0019 1.0012 1.0014, Sell to Close, EUR, USD, 79994.0, 1.0
2022-10-26 17:15:00 1.0018 1.0019 1.0012 1.0014, Sell to Close, EUR, USD, 79993.0, 1.0
2022-10-26 17:15:00 1.0018 1.0019 1.00085 1.00125, Sell to Close, EUR, USD, 79992.0, 2000.0
2022-10-26 17:15:00 1.0018 1.0019 1.00085 1.00115, Sell to Close, EUR, USD, 77992.0, 2000.0
2022-10-26 17:15:00 1.0018 1.0019 1.00085 1.00115, Sell to Close, EUR, USD, 75992.0, 2000.0
, Sell to Close, EUR, USD, 73992.0, 2000.0
2022-10-26 17:15:00 1.0018 1.0019 1.00085 1.0015, Sell to Close, EUR, USD, 73992.0, 2000.0
2022-10-26 17:15:00 1.0018 1.0019 1.00085 1.00155, Sell to Close, EUR, USD, 69992.0, 2000.0
2022-10-26 17:15:00 1.0018 1.0019 1.00085 1.00165, Sell to Close, EUR, USD, 67992.0, 20000.0
2022-10-26 17:15:00 1.0018 1.0019 1.00085 1.00165, Sell to Close, EUR, USD, 47992.0, 20000.0
2022-10-26 17:15:00 1.0018 1.0019 1.00085 1.0016, Sell to Close, EUR, USD, 27992.0, 20000.0
2022-10-26 17:30:00 1.0017 1.0023 1.0016 1.0022, Sell to Close, EUR, USD, 7992.0, 20000.0
2022-10-26 17:30:00 1.0017 1.00235 1.0016 1.00185, Buy to Close, EUR, USD, -12008.0, 20000.0
2022-10-26 17:30:00 1.0017 1.00235 1.0016 1.0021, Sell to Close, EUR, USD, 7992.0, 1992.0
2022-10-26 17:30:00 1.0017 1.00235 1.0016 1.002, Sell to Close, EUR, USD, 6000.0, 1992.0
2022-10-26 17:30:00 1.0017 1.00235 1.0016 1.00205, Sell to Close, EUR, USD, 4008.0, 1992.0
2022-10-26 17:30:00 1.0017 1.00235 1.0016 1.00205, Sell to Close, EUR, USD, 2016.0, 1992.0
2022-10-26 17:30:00 1.0017 1.00235 1.0016 1.0021, Sell to Close, EUR, USD, 24.0, 1992.0
2022-10-26 17:30:00 1.0017 1.00235 1.0016 1.002, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-26 17:30:00 1.0017 1.00235 1.0016 1.0018, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-26 17:30:00 1.0017 1.00235 1.0016 1.0018, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-26 17:45:00 1.0018 1.00225 1.00165 1.00205, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-26 17:45:00 1.0018 1.00225 1.00165 1.002, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-26 17:45:00 1.0018 1.00225 1.00165 1.002, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-26 17:45:00 1.0018 1.00225 1.00165 1.0021, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-26 17:45:00 1.0018 1.00225 1.00165 1.0021, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-26 17:45:00 1.0018 1.00225 1.00165 1.00205, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-26 17:45:00 1.0018 1.00225 1.00165 1.002, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-26 17:45:00 1.0018 1.00225 1.00165 1.00195, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-26 17:45:00 1.0018 1.00225 1.00165 1.002, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-26 02:45:00 152.255 152.48 152.015 152.385, Buy to Open, AAPL, USD, 0.0, 10.0
2022-10-26 02:45:00 152.255 152.48 152.015 152.385, Sell to Close, AAPL, USD, 10.0, 10.0
2022-10-26 02:45:00 152.255 152.48 152.015 152.385, Sell to Close, AAPL, USD, 10.0, 10.0
2022-10-26 02:45:00 152.255 152.48 152.015 152.385, Sell to Close, AAPL, USD, 10.0, 10.0
, Sell to Close, AAPL, USD, 10.0, 10.0
2022-10-26 02:45:00 152.255 152.48 152.015 152.385, Sell to Close, AAPL, USD, 10.0, 10.0
2022-10-26 02:45:00 152.255 152.48 152.015 152.385, Sell to Close, AAPL, USD, 10.0, 10.0
2022-10-26 02:45:00 152.255 152.48 152.015 152.385, Buy to Open, AAPL, USD, 0.0, 10.0
2022-10-26 02:45:00 152.255 152.48 152.015 152.385, Buy to Open, AAPL, USD, 0.0, 10.0
2022-10-26 02:45:00 152.255 152.48 152.015 152.385, Buy to Open, AAPL, USD, 0.0, 10.0
2022-10-26 19:15:00 1.0023 1.0029 1.001 1.0012, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-26 19:30:00 1.00065 1.0013 0.99985 1.00085, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-26 19:30:00 1.00065 1.0013 0.99985 1.00045, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-26 19:30:00 1.00065 1.0013 0.99985 1.00045, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-26 20:30:00 150.835 151.305 150.475 151.23, Sell to Close, AAPL, USD, 10.0, 10.0
2022-10-26 20:30:00 150.835 151.32 150.475 150.92, Buy to Open, AAPL, USD, 0.0, 10.0
2022-10-26 20:30:00 150.835 151.32 150.475 150.955, Sell to Close, AAPL, USD, 10.0, 10.0
2022-10-26 20:30:00 150.835 151.32 150.475 150.92, Buy to Open, AAPL, USD, 0.0, 10.0
2022-10-26 20:30:00 150.835 151.32 150.475 150.96, Sell to Close, AAPL, USD, 10.0, 10.0
2022-10-26 20:30:00 150.835 151.32 150.475 150.56, Sell to Open, AAPL, USD, 0.0, 10.0
2022-10-26 20:30:00 150.835 151.32 150.185 150.185, Buy to Close, AAPL, USD, -10.0, 10.0
2022-10-26 20:30:00 150.835 151.32 149.93 149.945, Sell to Open, AAPL, USD, 0.0, 10.0
2022-10-26 20:30:00 150.835 151.32 149.785 149.995, Buy to Close, AAPL, USD, -10.0, 10.0
2022-10-26 20:30:00 150.835 151.32 149.785 149.835, Sell to Open, AAPL, USD, 0.0, 10.0
2022-10-26 20:30:00 150.835 151.32 149.63 149.935, Buy to Close, AAPL, USD, -10.0, 10.0
2022-10-26 20:30:00 150.835 151.32 149.63 149.915, Sell to Open, AAPL, USD, 0.0, 10.0
2022-10-26 20:45:00 149.765 150.07 149.725 150.04, Buy to Close, AAPL, USD, -10.0, 10.0
2022-10-26 20:52:00 150.25 150.255 150.21 150.21, Sell to Open, AAPL, USD, 0.0, 10.0
2022-10-26 20:53:00 150.21 150.375 150.155 150.33, Buy to Close, AAPL, USD, -10.0, 10.0
2022-10-26 20:45:00 149.765 150.745 149.725 149.805, Sell to Open, AAPL, USD, 0.0, 10.0
2022-10-26 20:45:00 149.765 150.745 149.725 149.805, Sell to Open, AAPL, USD, 0.0, 10.0
2022-10-26 20:45:00 149.765 150.745 149.725 149.865, Buy to Close, AAPL, USD, -20.0, 10.0
2022-10-26 20:45:00 149.765 150.745 149.725 149.84, Buy to Close, AAPL, USD, -10.0, 10.0
2022-10-26 20:45:00 149.765 150.745 149.725 149.86, Sell to Open, AAPL, USD, 0.0, 10.0
2022-10-26 21:00:00 149.625 150.475 149.625 150.415, Buy to Close, AAPL, USD, -10.0, 10.0
