2022-10-28 22:45:00 0.99435 0.9944 0.99425 0.9943, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-28 22:45:00 0.99435 0.9944 0.99425 0.9943, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-28 22:45:00 0.99435 0.99465 0.99375 0.99385, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9932, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9933, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9933, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9934, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99345, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9934, Sell to Open, EUR, USD, 0.0, 20000.0
, Buy to Close, EUR, USD, -20000.0, 20000.0
, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99325, Buy to Open, EUR, USD, 0.0, 20000.0
, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9933, Sell to Close, EUR, USD, 40000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9933, Sell to Close, EUR, USD, 40000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9933, Sell to Close, EUR, USD, 40000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99325, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99325, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99325, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99325, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99325, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9933, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9933, Buy to Close, EUR, USD, -20000.0, 20000.0
, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9933, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9933, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Sell to Open, EUR, USD, 0.0, 20000.0
, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Buy to Close, EUR, USD, -20000.0, 20000.0
, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.99335, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9934, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9934, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9934, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9934, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9934, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9934, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9934, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9934, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9934, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9934, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9934, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.99355 0.99375 0.99315 0.9934, Buy to Open, EUR, USD, 0.0, 20000.0
2022-10-28 23:15:00 0.85845 0.85865 0.85805 0.85825, Sell to Close, EUR, GBP, 20000.0, 20000.0
2022-10-28 23:15:00 0.85845 0.85865 0.85805 0.85825, Sell to Close, EUR, GBP, 20000.0, 20000.0
, Sell to Close, AAPL, USD, 300.0, 100.0
2022-10-28 23:15:00 155.3 155.955 155.255 155.84, Sell to Close, AAPL, USD, 200.0, 100.0
2022-10-28 23:30:00 0.99305 0.99305 0.9929 0.99295, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-28 23:30:00 0.99305 0.99305 0.9929 0.99295, Sell to Close, EUR, USD, 20000.0, 20000.0
2022-10-28 23:15:00 155.3 155.955 155.255 155.855, Sell to Close, AAPL, USD, 100.0, 100.0
2022-10-28 23:15:00 155.3 155.955 155.255 155.855, Sell to Close, AAPL, USD, 100.0, 100.0
, Sell to Close, IBM, USD, 150.0, 50.0
2022-10-28 23:30:00 138.115 138.115 138.045 138.07, Sell to Close, IBM, USD, 100.0, 50.0
2022-10-28 23:30:00 138.115 138.115 138.09 138.1, Sell to Close, IBM, USD, 50.0, 50.0
2022-10-28 23:30:00 0.8582 0.8582 0.85805 0.85815, Buy to Close, EUR, GBP, -20000.0, 20000.0
, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-28 23:30:00 0.8582 0.8582 0.85805 0.85815, Buy to Close, EUR, GBP, -20000.0, 20000.0
2022-10-28 23:30:00 0.99305 0.99335 0.9929 0.9933, Buy to Close, EUR, USD, -20000.0, 20000.0
, Buy to Close, AAPL, USD, -100.0, 100.0
2022-10-28 23:30:00 138.115 138.115 138.045 138.06, Sell to Open, IBM, USD, 0.0, 50.0
2022-10-28 23:30:00 155.895 155.895 155.885 155.895, Buy to Open, AAPL, USD, 0.0, 100.0
, Buy to Close, IBM, USD, -50.0, 50.0
2022-10-28 23:30:00 138.115 138.12 138.04 138.12, Buy to Open, IBM, USD, 0.0, 50.0
